StationCode,PriceUpdatedDate,FuelCode,Price
18163,2021-10-01 06:50:34,E10,139.9
18163,2021-10-01 19:04:54,E10,134.9
18163,2021-10-01 22:54:59,E10,139.9
1090,2021-10-02 09:57:31,E10,139.9
18163,2021-10-02 18:29:26,E10,134.9
18163,2021-10-03 00:50:28,E10,139.9
18163,2021-10-03 18:21:40,E10,134.9
18163,2021-10-04 08:36:10,E10,139.9
274,2021-10-04 09:54:27,E10,142.9
18163,2021-10-04 18:30:58,E10,134.9
18163,2021-10-05 00:50:10,E10,139.9
1090,2021-10-05 10:21:42,E10,137.9
18163,2021-10-05 18:27:45,E10,134.9
18163,2021-10-06 07:24:45,E10,139.9
18163,2021-10-06 18:31:24,E10,134.9
18163,2021-10-07 06:11:47,E10,139.9
18163,2021-10-07 18:33:34,E10,134.9
18163,2021-10-07 23:43:12,E10,139.9
274,2021-10-08 12:04:20,E10,143.4
18163,2021-10-08 18:26:20,E10,134.9
18163,2021-10-09 07:09:46,E10,139.9
18163,2021-10-09 18:37:45,E10,134.9
18163,2021-10-10 01:17:11,E10,139.9
274,2021-10-10 11:50:06,E10,143.5
18163,2021-10-10 18:14:42,E10,134.9
18163,2021-10-11 06:57:44,E10,139.9
274,2021-10-11 12:16:03,E10,179.9
17109,2021-10-11 12:56:10,E10,163.9
18163,2021-10-11 18:34:49,E10,134.9
18163,2021-10-12 07:21:46,E10,139.9
18163,2021-10-12 10:02:28,E10,147.9
17798,2021-10-12 10:25:47,E10,147.9
18163,2021-10-12 10:55:42,E10,147.9
18163,2021-10-12 18:38:09,E10,142.9
675,2021-10-12 19:06:10,E10,179.9
18163,2021-10-13 01:11:17,E10,147.9
18163,2021-10-13 18:47:36,E10,142.9
18163,2021-10-14 00:29:53,E10,147.9
1090,2021-10-14 12:48:22,E10,141.9
18163,2021-10-14 18:50:15,E10,142.9
18163,2021-10-15 00:24:29,E10,147.9
17109,2021-10-15 07:18:20,E10,147.9
18163,2021-10-15 18:43:58,E10,142.9
18163,2021-10-16 01:17:29,E10,147.9
18163,2021-10-16 18:42:17,E10,142.9
18163,2021-10-17 00:47:33,E10,147.9
274,2021-10-17 06:42:12,E10,177.9
18163,2021-10-17 18:36:28,E10,142.9
18163,2021-10-18 00:12:12,E10,147.9
18163,2021-10-18 08:31:45,E10,157.9
1090,2021-10-18 12:19:56,E10,157.9
18163,2021-10-18 18:32:31,E10,152.9
17798,2021-10-18 18:41:01,E10,157.9
18163,2021-10-19 00:11:54,E10,157.9
17798,2021-10-19 07:37:38,E10,147.9
18163,2021-10-19 08:45:47,E10,149.9
17798,2021-10-19 08:55:39,E10,149.9
18163,2021-10-19 10:41:10,E10,155.9
17798,2021-10-19 11:16:23,E10,155.9
18163,2021-10-19 12:53:14,E10,167.9
17798,2021-10-19 12:56:45,E10,167.9
1090,2021-10-19 13:25:00,E10,167.9
18163,2021-10-19 18:32:32,E10,152.9
18163,2021-10-20 00:35:25,E10,157.9
17109,2021-10-20 10:21:50,E10,167.9
18163,2021-10-20 11:48:52,E10,167.9
675,2021-10-20 13:48:07,E10,167.9
274,2021-10-20 14:42:04,E10,167.9
18163,2021-10-20 18:31:24,E10,162.9
18163,2021-10-21 07:42:06,E10,167.9
18163,2021-10-21 18:31:53,E10,162.9
18163,2021-10-22 06:51:11,E10,167.9
18163,2021-10-22 11:42:24,E10,164.9
18163,2021-10-22 18:39:10,E10,159.9
18163,2021-10-23 00:11:45,E10,164.9
1090,2021-10-23 09:31:44,E10,165.9
18163,2021-10-23 18:41:56,E10,159.9
18163,2021-10-24 00:33:50,E10,164.9
1090,2021-10-24 10:43:53,E10,163.9
18163,2021-10-24 18:03:38,E10,159.9
18163,2021-10-24 22:58:29,E10,164.9
1090,2021-10-25 09:13:43,E10,159.9
17109,2021-10-25 09:27:30,E10,163.9
17798,2021-10-25 09:53:53,E10,163.7
274,2021-10-25 10:42:04,E10,163.9
18163,2021-10-25 10:52:34,E10,163.9
18163,2021-10-25 10:58:41,E10,163.9
18163,2021-10-25 10:59:02,E10,163.7
18163,2021-10-25 18:38:12,E10,158.7
18163,2021-10-26 01:29:54,E10,163.7
18163,2021-10-26 14:09:31,E10,159.9
17798,2021-10-26 14:10:26,E10,159.7
18163,2021-10-26 14:21:09,E10,159.7
18163,2021-10-26 18:51:25,E10,154.7
18163,2021-10-27 02:06:55,E10,159.7
1090,2021-10-27 10:43:59,E10,157.9
18163,2021-10-27 18:56:15,E10,154.7
18163,2021-10-28 02:05:00,E10,159.7
18163,2021-10-28 09:46:13,E10,159.9
18163,2021-10-28 18:46:50,E10,154.7
18163,2021-10-29 01:13:14,E10,159.7
17109,2021-10-29 05:36:11,E10,157.9
1090,2021-10-29 09:14:55,E10,153.9
18163,2021-10-29 15:49:31,E10,156.7
17798,2021-10-29 17:46:00,E10,156.7
18163,2021-10-29 18:50:42,E10,151.7
18163,2021-10-30 02:44:10,E10,156.7
18163,2021-10-30 08:04:55,E10,156.9
18163,2021-10-30 18:50:14,E10,151.7
18163,2021-10-31 02:11:49,E10,156.7
18163,2021-10-31 18:41:14,E10,151.7
18163,2021-10-31 22:52:32,E10,156.7
18163,2020-12-01 01:15:20,E10,105.9
17798,2020-12-01 05:24:52,E10,105.9
1090,2020-12-01 05:49:50,E10,104.3
1090,2020-12-01 05:57:16,E10,100.9
675,2020-12-01 08:37:28,E10,105.7
17798,2020-12-01 09:14:42,E10,105.7
274,2020-12-01 09:21:31,E10,105.7
17109,2020-12-01 09:35:16,E10,104.9
17798,2020-12-01 09:47:26,E10,104.9
18163,2020-12-01 10:14:51,E10,104.9
675,2020-12-01 10:48:42,E10,104.9
274,2020-12-01 11:33:45,E10,104.9
1090,2020-12-01 11:44:03,E10,100.5
18163,2020-12-01 12:16:31,E10,104.9
18163,2020-12-01 19:05:30,E10,99.9
17798,2020-12-01 20:19:47,E10,99.9
1090,2020-12-01 21:01:13,E10,99.5
18163,2020-12-02 00:41:46,E10,104.9
17798,2020-12-02 05:29:08,E10,104.9
1090,2020-12-02 05:49:18,E10,100.5
675,2020-12-02 07:04:59,E10,104.5
17798,2020-12-02 07:28:07,E10,103.9
1090,2020-12-02 07:36:17,E10,99.4
274,2020-12-02 07:57:17,E10,104.5
18163,2020-12-02 08:24:36,E10,103.9
18163,2020-12-02 09:34:03,E10,103.9
675,2020-12-02 14:05:34,E10,103.9
274,2020-12-02 15:21:41,E10,103.9
18163,2020-12-02 19:00:03,E10,98.9
17798,2020-12-02 19:14:32,E10,98.9
1090,2020-12-02 21:02:46,E10,94.4
1090,2020-12-03 01:32:47,E10,99.4
18163,2020-12-03 02:06:54,E10,103.9
17798,2020-12-03 05:07:29,E10,103.9
1090,2020-12-03 06:58:39,E10,98.7
18163,2020-12-03 19:00:01,E10,98.9
17798,2020-12-03 19:50:45,E10,98.9
1090,2020-12-03 21:03:03,E10,93.7
1090,2020-12-03 22:38:40,E10,98.7
18163,2020-12-04 02:11:48,E10,103.9
17798,2020-12-04 04:12:01,E10,103.9
17798,2020-12-04 07:36:05,E10,103.5
17798,2020-12-04 09:24:40,E10,102.9
18163,2020-12-04 09:35:37,E10,102.9
1090,2020-12-04 11:53:59,E10,97.5
18163,2020-12-04 13:08:42,E10,102.9
675,2020-12-04 13:20:31,E10,102.9
274,2020-12-04 14:36:42,E10,102.9
18163,2020-12-04 19:00:00,E10,97.9
17798,2020-12-04 19:44:06,E10,97.9
1090,2020-12-04 20:03:37,E10,92.5
1090,2020-12-04 22:23:06,E10,97.5
17798,2020-12-05 05:40:40,E10,102.9
18163,2020-12-05 10:36:14,E10,102.9
18163,2020-12-05 18:59:44,E10,97.9
1090,2020-12-05 20:06:18,E10,92.5
1090,2020-12-05 22:37:29,E10,97.5
18163,2020-12-06 00:15:33,E10,102.9
17109,2020-12-06 03:13:19,E10,102.9
18163,2020-12-06 19:08:15,E10,97.9
1090,2020-12-06 20:02:57,E10,92.5
17798,2020-12-06 20:30:46,E10,97.9
1090,2020-12-06 23:01:41,E10,97.5
18163,2020-12-07 00:18:44,E10,102.9
17798,2020-12-07 05:42:42,E10,102.9
17798,2020-12-07 18:57:48,E10,97.9
18163,2020-12-07 19:00:05,E10,97.9
1090,2020-12-07 21:02:28,E10,92.5
1090,2020-12-08 00:08:17,E10,97.5
18163,2020-12-08 00:19:06,E10,102.9
17798,2020-12-08 05:56:56,E10,102.9
675,2020-12-08 10:18:03,E10,149.9
274,2020-12-08 10:44:32,E10,100.9
17798,2020-12-08 11:07:17,E10,100.9
18163,2020-12-08 11:53:07,E10,100.9
18163,2020-12-08 18:59:25,E10,97.9
18163,2020-12-09 02:10:44,E10,102.9
1090,2020-12-09 14:16:49,E10,99.9
18163,2020-12-09 16:01:28,E10,107.9
18163,2020-12-10 22:32:34,E10,102.9
18163,2020-12-11 01:45:42,E10,107.9
274,2020-12-11 14:24:54,E10,149.9
274,2020-12-11 15:49:42,E10,147.9
17109,2020-12-11 17:11:55,E10,125.9
675,2020-12-11 18:36:43,E10,147.9
18163,2020-12-11 19:00:01,E10,102.9
18163,2020-12-12 01:24:54,E10,107.9
18163,2020-12-12 11:04:42,E10,109.9
17798,2020-12-12 11:33:27,E10,109.9
18163,2020-12-12 12:57:36,E10,109.9
18163,2020-12-13 19:09:06,E10,104.9
18163,2020-12-13 22:42:17,E10,109.9
18163,2020-12-14 14:44:13,E10,125.9
17798,2020-12-14 14:55:02,E10,125.9
18163,2020-12-15 01:12:49,E10,125.7
1090,2020-12-15 06:58:56,E10,109.9
274,2020-12-15 14:04:19,E10,145.9
18163,2020-12-15 19:03:43,E10,120.7
18163,2020-12-16 00:24:02,E10,125.7
1090,2020-12-16 09:01:58,E10,127.9
675,2020-12-16 09:37:33,E10,145.9
18163,2020-12-16 18:58:34,E10,120.7
17798,2020-12-16 19:14:57,E10,120.9
1090,2020-12-16 19:19:27,E10,122.9
18163,2020-12-17 01:57:46,E10,125.7
17798,2020-12-17 05:27:07,E10,125.9
1090,2020-12-17 05:45:15,E10,127.9
274,2020-12-17 13:32:43,E10,143.9
675,2020-12-17 15:05:11,E10,143.9
18163,2020-12-17 18:58:59,E10,120.7
1090,2020-12-17 20:02:51,E10,122.9
17798,2020-12-17 20:39:54,E10,120.9
1090,2020-12-17 22:29:25,E10,127.9
18163,2020-12-18 01:01:44,E10,125.7
17798,2020-12-18 05:33:44,E10,125.9
274,2020-12-18 09:16:57,E10,142.9
675,2020-12-18 10:54:03,E10,142.9
1090,2020-12-18 14:15:04,E10,125.9
18163,2020-12-18 19:16:09,E10,120.7
1090,2020-12-18 20:02:50,E10,120.9
1090,2020-12-18 22:32:29,E10,125.9
18163,2020-12-19 02:04:17,E10,125.7
274,2020-12-19 07:57:16,E10,135.9
675,2020-12-19 16:36:58,E10,135.9
1090,2020-12-19 18:01:37,E10,120.9
18163,2020-12-19 18:59:01,E10,120.7
17798,2020-12-19 19:51:02,E10,120.9
1090,2020-12-19 22:59:45,E10,125.9
17798,2020-12-20 00:49:29,E10,125.9
18163,2020-12-20 01:20:35,E10,125.7
18163,2020-12-20 13:02:54,E10,124.9
1090,2020-12-20 17:48:51,E10,120.9
18163,2020-12-20 19:19:41,E10,119.9
17798,2020-12-20 20:08:09,E10,120.9
18163,2020-12-20 22:39:35,E10,124.9
1090,2020-12-20 23:46:56,E10,125.9
17798,2020-12-21 05:11:21,E10,125.9
274,2020-12-21 07:44:29,E10,133.9
675,2020-12-21 10:56:47,E10,129.9
274,2020-12-21 11:36:55,E10,129.9
1090,2020-12-21 18:02:44,E10,120.9
18163,2020-12-21 19:00:32,E10,119.9
17798,2020-12-21 19:19:25,E10,120.9
18163,2020-12-22 00:30:19,E10,124.9
1090,2020-12-22 05:54:33,E10,125.9
17798,2020-12-22 05:55:30,E10,125.9
1090,2020-12-22 06:19:38,E10,124.7
18163,2020-12-22 19:03:14,E10,119.9
1090,2020-12-22 19:04:27,E10,119.7
17798,2020-12-22 19:20:11,E10,120.9
18163,2020-12-23 00:35:56,E10,124.9
1090,2020-12-23 05:38:08,E10,124.7
17798,2020-12-23 06:03:33,E10,125.9
274,2020-12-23 07:57:32,E10,125.9
675,2020-12-23 11:13:58,E10,125.9
1090,2020-12-23 14:14:15,E10,117.7
1090,2020-12-23 18:12:08,E10,112.7
18163,2020-12-23 19:00:01,E10,119.9
17798,2020-12-23 19:47:05,E10,120.9
1090,2020-12-23 22:56:21,E10,117.7
18163,2020-12-24 02:23:38,E10,124.9
17798,2020-12-24 05:03:59,E10,125.9
18163,2020-12-24 13:46:07,E10,123.9
18163,2020-12-24 13:47:11,E10,124.9
17798,2020-12-24 14:04:21,E10,124.9
274,2020-12-24 16:28:55,E10,124.9
675,2020-12-24 18:16:39,E10,124.9
18163,2020-12-24 19:03:06,E10,118.9
17798,2020-12-24 19:04:21,E10,119.9
1090,2020-12-24 20:07:17,E10,112.7
1090,2020-12-24 22:31:34,E10,117.7
18163,2020-12-25 03:02:10,E10,123.9
17798,2020-12-25 05:30:19,E10,124.9
